role_id,role_title,job_level,department_id,min_salary,max_salary
108,Senior Customer Success Manager,Senior,6,110000,160000
109,Lead Customer Success Manager,Lead,6,140000,190000
110,Customer Success Manager Manager,Manager,6,130000,180000
111,Customer Success Manager Director,Director,6,180000,250000
112,Customer Success Manager VP,VP,6,240000,350000
113,Junior Support Specialist,Junior,6,45000,70000
114,Mid Support Specialist,Mid,6,70000,110000
115,Senior Support Specialist,Senior,6,110000,160000
116,Lead Support Specialist,Lead,6,140000,190000
117,Support Specialist Manager,Manager,6,130000,180000
118,Support Specialist Director,Director,6,180000,250000
119,Support Specialist VP,VP,6,240000,350000
120,Junior HR Business Partner,Junior,7,45000,70000
121,Mid HR Business Partner,Mid,7,70000,110000
122,Senior HR Business Partner,Senior,7,110000,160000
123,Lead HR Business Partner,Lead,7,140000,190000
124,HR Business Partner Manager,Manager,7,130000,180000
125,HR Business Partner Director,Director,7,180000,250000
126,HR Business Partner VP,VP,7,240000,350000
127,Junior Recruiter,Junior,7,45000,70000
128,Mid Recruiter,Mid,7,70000,110000
129,Senior Recruiter,Senior,7,110000,160000
130,Lead Recruiter,Lead,7,140000,190000
131,Recruiter Manager,Manager,7,130000,180000
132,Recruiter Director,Director,7,180000,250000
133,Recruiter VP,VP,7,240000,350000
134,Junior L&D Specialist,Junior,7,45000,70000
135,Mid L&D Specialist,Mid,7,70000,110000
136,Senior L&D Specialist,Senior,7,110000,160000
137,Lead L&D Specialist,Lead,7,140000,190000
138,L&D Specialist Manager,Manager,7,130000,180000
139,L&D Specialist Director,Director,7,180000,250000
140,L&D Specialist VP,VP,7,240000,350000
141,Junior Financial Analyst,Junior,8,45000,70000
142,Mid Financial Analyst,Mid,8,70000,110000
143,Senior Financial Analyst,Senior,8,110000,160000
144,Lead Financial Analyst,Lead,8,140000,190000
145,Financial Analyst Manager,Manager,8,130000,180000
146,Financial Analyst Director,Director,8,180000,250000
147,Financial Analyst VP,VP,8,240000,350000
148,Junior Accountant,Junior,8,45000,70000
149,Mid Accountant,Mid,8,70000,110000
150,Senior Accountant,Senior,8,110000,160000
151,Lead Accountant,Lead,8,140000,190000
152,Accountant Manager,Manager,8,130000,180000
153,Accountant Director,Director,8,180000,250000
154,Accountant VP,VP,8,240000,350000
155,Junior FP&A Manager,Junior,8,45000,70000
156,Mid FP&A Manager,Mid,8,70000,110000
157,Senior FP&A Manager,Senior,8,110000,160000
158,Lead FP&A Manager,Lead,8,140000,190000
159,FP&A Manager Manager,Manager,8,130000,180000
160,FP&A Manager Director,Director,8,180000,250000
161,FP&A Manager VP,VP,8,240000,350000
162,Junior Legal Counsel,Junior,9,45000,70000
163,Mid Legal Counsel,Mid,9,70000,110000
164,Senior Legal Counsel,Senior,9,110000,160000
165,Lead Legal Counsel,Lead,9,140000,190000
166,Legal Counsel Manager,Manager,9,130000,180000
167,Legal Counsel Director,Director,9,180000,250000
168,Legal Counsel VP,VP,9,240000,350000
169,Junior Compliance Analyst,Junior,9,45000,70000
170,Mid Compliance Analyst,Mid,9,70000,110000
171,Senior Compliance Analyst,Senior,9,110000,160000
172,Lead Compliance Analyst,Lead,9,140000,190000
173,Compliance Analyst Manager,Manager,9,130000,180000
174,Compliance Analyst Director,Director,9,180000,250000
175,Compliance Analyst VP,VP,9,240000,350000
176,Junior Operations Analyst,Junior,10,45000,70000
177,Mid Operations Analyst,Mid,10,70000,110000
178,Senior Operations Analyst,Senior,10,110000,160000
179,Lead Operations Analyst,Lead,10,140000,190000
180,Operations Analyst Manager,Manager,10,130000,180000
181,Operations Analyst Director,Director,10,180000,250000
182,Operations Analyst VP,VP,10,240000,350000
183,Junior Project Manager,Junior,10,45000,70000
184,Mid Project Manager,Mid,10,70000,110000
185,Senior Project Manager,Senior,10,110000,160000
186,Lead Project Manager,Lead,10,140000,190000
187,Project Manager Manager,Manager,10,130000,180000
188,Project Manager Director,Director,10,180000,250000
189,Project Manager VP,VP,10,240000,350000
190,Junior Ops Manager,Junior,10,45000,70000
191,Mid Ops Manager,Mid,10,70000,110000
192,Senior Ops Manager,Senior,10,110000,160000
193,Lead Ops Manager,Lead,10,140000,190000
194,Ops Manager Manager,Manager,10,130000,180000
195,Ops Manager Director,Director,10,180000,250000
196,Ops Manager VP,VP,10,240000,350000
